applicant_id,age,annual_income,employment_years,credit_score,loan_amount,applicant_group,region,approved
121,29,840000,2,718,446000,B,south,1
122,34,567000,4,602,953000,B,east,0
123,21,928000,0,554,2080000,A,south,0
124,44,934000,4,716,647000,B,north,1
125,42,498000,1,760,929000,B,north,0
126,41,607000,6,605,1084000,B,east,0
127,45,226000,3,621,338000,B,east,0
128,39,1132000,3,683,469000,A,west,1
129,41,952000,6,536,1046000,B,north,0
130,33,1178000,2,751,579000,A,east,1
131,39,1057000,1,758,1467000,B,north,1
132,41,996000,2,756,2013000,A,west,1
133,23,835000,0,632,1317000,B,south,0
134,38,557000,1,713,930000,B,south,0
135,50,686000,2,804,1061000,B,west,1
136,45,747000,1,751,1041000,B,south,0
137,45,1028000,8,652,653000,B,south,0
138,51,481000,2,784,717000,B,east,0
139,38,896000,5,668,849000,A,north,0
140,44,1020000,8,755,453000,B,east,1
141,47,957000,1,605,726000,A,south,0
142,40,749000,6,677,1185000,B,east,0
143,36,366000,3,532,756000,B,north,0
144,51,1144000,3,717,2140000,A,east,1
145,53,801000,9,735,1604000,A,east,1
146,44,975000,6,690,1865000,B,west,0
147,45,787000,8,794,1028000,A,north,1
148,43,1002000,7,783,1323000,A,east,1
149,31,914000,2,651,1938000,A,west,0
150,36,906000,5,633,463000,B,north,0
151,37,894000,4,674,1679000,B,north,0
152,33,769000,1,747,643000,A,north,1
153,42,1159000,2,662,1887000,A,east,0
154,32,614000,2,700,1431000,A,east,0
155,29,1258000,2,641,524000,B,east,1
156,41,957000,6,739,419000,B,west,1
157,37,872000,2,701,1884000,B,west,0
158,30,449000,1,676,973000,B,north,0
159,38,757000,4,626,564000,B,north,0
160,44,1242000,9,756,1796000,A,west,1
161,35,870000,4,739,1139000,A,east,1
162,24,764000,0,739,956000,B,west,0
163,27,739000,1,571,638000,B,west,0
164,28,960000,2,618,2212000,A,north,0
165,49,1016000,9,769,1967000,A,south,1
166,38,811000,1,754,1659000,A,east,1
167,33,765000,2,720,758000,B,north,0
168,34,936000,3,718,1789000,A,east,1
169,37,808000,5,645,1799000,A,south,0
170,39,821000,8,583,1011000,A,south,0
171,45,736000,3,747,389000,A,north,1
172,31,1040000,4,658,1559000,A,east,0
173,37,1005000,3,612,2003000,A,west,0
174,27,588000,0,710,904000,A,west,0
175,31,936000,1,626,1209000,A,east,0
176,55,639000,6,688,961000,B,east,0
177,41,791000,4,715,1462000,A,east,0
178,37,671000,4,724,832000,B,east,0
179,39,880000,6,787,1820000,B,north,1
180,51,688000,4,635,1421000,B,east,0
181,46,897000,8,695,1452000,A,east,1
182,49,910000,8,556,366000,A,west,0
183,38,1104000,3,673,1661000,A,north,0
184,39,878000,4,712,1158000,A,east,1
185,32,537000,4,733,503000,A,south,1
186,39,581000,6,538,297000,A,south,0
187,32,763000,3,621,1923000,A,east,0
188,43,776000,5,629,1198000,B,south,0
189,47,944000,8,764,595000,B,east,1
190,34,771000,2,652,1418000,A,east,0
191,38,348000,1,657,482000,B,north,0
192,50,1117000,6,663,2283000,A,south,0
193,49,956000,7,587,1153000,B,west,0
194,35,549000,5,556,518000,B,east,0
195,30,825000,3,899,979000,B,east,1
196,32,943000,1,784,767000,A,east,1
197,35,990000,4,766,1036000,A,south,1
198,26,804000,1,759,1675000,A,west,1
199,36,576000,1,641,505000,B,east,0
200,28,1025000,2,616,1326000,A,west,0
201,53,370000,10,680,512000,B,south,0
202,58,737000,3,645,968000,B,north,0
203,42,764000,2,782,1765000,B,west,0
204,37,664000,3,544,1013000,B,south,0
205,26,833000,0,688,537000,B,south,0
206,28,739000,2,633,1733000,A,west,0
207,34,873000,5,737,358000,A,south,1
208,34,727000,4,648,803000,B,west,0
209,34,1170000,4,646,733000,A,north,1
210,34,1037000,2,762,2226000,A,north,1
211,45,695000,6,646,1727000,A,north,0
212,40,992000,4,747,1465000,A,west,1
213,36,934000,5,622,2262000,B,west,0
214,41,1181000,5,511,1241000,B,east,0
215,42,1010000,9,819,1937000,A,south,1
216,24,952000,1,632,2044000,B,north,0
217,28,966000,1,631,811000,B,south,0
218,42,977000,3,621,1544000,A,east,0
219,42,1377000,9,622,2169000,A,east,1
220,34,971000,2,645,671000,B,east,0
221,48,733000,3,623,759000,A,west,0
222,37,427000,4,651,316000,B,west,0
223,21,848000,0,668,1551000,B,east,0
224,36,1325000,6,714,1353000,A,north,1
225,41,531000,2,643,1366000,B,east,0
226,51,211000,3,508,532000,B,east,0
227,41,969000,2,615,1710000,B,west,0
228,37,586000,5,687,1487000,B,east,0
229,34,1183000,3,625,682000,A,south,1
230,34,1039000,6,697,995000,A,north,1
231,37,769000,5,653,1303000,B,south,0
232,32,935000,3,660,2100000,A,east,0
233,21,591000,0,811,1535000,A,north,1
234,52,876000,2,686,972000,A,south,0
235,32,1131000,4,594,2410000,A,east,0
236,23,1150000,1,687,1778000,B,north,0
237,21,835000,0,619,1280000,B,east,0
238,45,1171000,5,737,1581000,B,west,1
239,29,902000,3,718,963000,A,south,1
240,40,735000,4,712,592000,B,south,0
241,32,1006000,1,668,1206000,B,east,0
242,31,946000,1,549,540000,A,east,0
243,44,746000,3,722,1638000,A,south,0
244,45,1072000,4,732,1894000,B,west,1
245,60,668000,12,667,1302000,B,east,0
246,44,422000,4,708,466000,B,south,0
247,44,898000,1,677,1031000,B,north,0
248,39,297000,3,691,678000,B,west,0
249,42,975000,7,757,1171000,A,north,1
250,48,1138000,4,784,1109000,A,west,1
251,22,769000,0,695,1888000,A,north,0
252,41,1013000,6,689,1716000,B,north,0
253,27,1071000,2,703,2753000,A,south,0
254,36,450000,3,679,415000,B,east,0
255,35,933000,1,736,1414000,B,south,1
256,48,697000,11,654,750000,A,west,0
257,38,884000,6,674,644000,A,south,1
258,35,831000,1,757,1965000,B,west,0
259,52,935000,2,571,1856000,A,north,0
260,43,453000,7,746,572000,A,west,0
261,37,1294000,5,730,2062000,A,west,1
262,22,743000,0,679,1831000,A,south,0
263,26,541000,0,689,875000,B,south,0
264,35,825000,2,691,1002000,B,east,0
265,22,974000,0,565,1472000,B,north,0
266,37,797000,3,705,1208000,A,east,0
267,46,805000,11,720,1593000,A,east,1
268,24,625000,1,783,957000,A,south,1
269,44,844000,6,589,1105000,A,north,0
270,49,536000,6,637,439000,B,west,0
271,27,1093000,1,763,1463000,A,east,1
272,39,629000,2,651,765000,A,north,0
273,34,1164000,5,646,2300000,A,west,0
274,47,728000,2,714,1659000,A,west,0
275,43,298000,7,517,664000,B,west,0
276,45,867000,9,569,2147000,A,north,0
277,40,520000,6,665,671000,A,west,0
278,41,780000,6,776,911000,A,east,1
279,36,1017000,5,545,2178000,A,east,0
280,31,734000,4,701,743000,A,south,0
281,38,560000,2,630,1018000,B,south,0
282,42,685000,2,694,1275000,B,south,0
283,21,987000,0,559,1522000,A,north,0
284,51,725000,8,588,1625000,B,north,0
285,37,656000,6,746,1293000,A,west,0
286,32,904000,4,627,1987000,B,south,0
287,36,872000,7,607,1451000,A,west,0
288,33,688000,4,707,393000,B,north,0
289,46,1094000,7,636,1865000,A,east,0
290,23,879000,1,705,518000,A,north,1
291,48,926000,5,653,2308000,B,north,0
292,32,780000,5,703,1213000,A,west,0
293,44,712000,8,568,1019000,A,north,0
294,37,1150000,3,715,1944000,A,east,1
295,30,815000,4,682,1533000,A,north,0
296,44,857000,4,650,1435000,B,south,0
297,39,718000,5,559,945000,B,east,0
298,52,559000,11,653,807000,B,south,0
299,40,813000,4,592,598000,A,north,0
300,35,1044000,4,610,1469000,A,north,0
301,54,510000,3,706,1158000,B,east,0
302,37,980000,4,725,2407000,A,west,0
303,35,1165000,5,744,2114000,A,south,1
304,33,877000,3,696,1516000,B,north,0
305,35,727000,4,787,1773000,A,east,1
306,49,595000,3,727,787000,B,east,0
307,41,861000,7,583,1954000,A,north,0
308,40,605000,5,678,546000,B,south,0
309,25,353000,1,601,499000,B,south,0
310,33,798000,1,589,571000,A,east,0
311,39,665000,5,703,1729000,B,north,0
312,40,1271000,5,690,2451000,A,north,1
313,47,668000,6,675,979000,B,west,0
314,34,662000,4,651,498000,B,north,0
315,36,1312000,4,687,3128000,A,west,1
316,31,792000,1,636,450000,A,east,0
317,40,705000,7,567,1400000,A,north,0
318,39,768000,4,662,1134000,B,east,0
319,33,938000,4,648,1078000,A,north,0
320,43,641000,7,674,1651000,B,west,0
321,28,991000,1,628,614000,A,east,0
322,38,1013000,4,695,1032000,B,west,1
323,50,1266000,5,642,1706000,A,east,1
324,38,598000,5,735,1368000,B,north,0
325,28,919000,1,733,1212000,B,north,1
326,51,800000,4,698,1035000,B,west,0
327,36,846000,2,724,1103000,B,north,0
328,53,910000,6,732,746000,A,west,1
329,42,676000,4,752,1753000,B,south,0
330,43,1441000,5,670,1428000,A,south,1
331,42,1369000,5,699,2523000,A,south,1
332,21,848000,0,744,1412000,A,south,1
333,35,832000,4,686,1732000,A,south,0
334,36,667000,1,745,1496000,A,south,0
335,49,999000,4,654,767000,A,north,0
336,38,667000,5,624,833000,B,north,0
337,44,832000,7,561,2023000,A,east,0
338,26,1143000,1,751,1592000,A,west,1
339,35,870000,3,621,358000,B,west,0
340,39,1002000,7,540,1610000,A,east,0
341,51,824000,3,671,1374000,A,south,0
342,38,847000,6,618,834000,A,east,0
343,45,893000,2,774,580000,A,south,1
344,21,780000,0,723,1930000,A,east,0
345,45,492000,6,603,657000,B,east,0
346,48,904000,9,787,1165000,A,west,1
347,40,814000,6,671,1768000,B,east,0
348,41,835000,7,567,364000,A,south,0
349,35,1008000,4,577,1495000,A,north,0
350,29,843000,0,758,749000,B,east,1
351,34,877000,2,598,2173000,B,east,0
352,50,919000,6,723,515000,B,west,1
353,58,920000,7,650,2137000,A,north,0
354,43,669000,2,666,1041000,A,west,0
355,41,752000,5,644,747000,A,west,0
356,28,771000,1,687,1413000,B,north,0
357,27,1162000,2,591,1866000,A,north,0
358,35,836000,3,684,1410000,A,east,0
359,44,706000,3,777,418000,B,north,1
360,26,671000,1,666,291000,B,west,0
361,27,477000,0,678,458000,B,west,0
362,28,642000,2,666,1618000,B,south,0
363,37,1184000,5,657,2806000,A,south,0
364,48,724000,5,669,1859000,A,north,0
365,44,862000,7,579,1856000,A,west,0
366,22,986000,0,754,1844000,A,south,1
367,29,1054000,3,618,1814000,A,south,0
368,45,1152000,6,736,1097000,A,south,1
369,44,1134000,8,761,2275000,A,west,1
370,27,575000,2,528,294000,B,south,0
371,32,922000,4,726,1632000,A,north,1
372,44,1156000,3,675,1965000,A,west,1
373,46,503000,4,695,999000,B,west,0
374,42,1011000,9,679,1255000,A,west,1
375,49,896000,9,597,1752000,A,east,0
376,39,858000,3,740,1118000,A,west,1
377,36,424000,3,604,433000,B,north,0
378,38,666000,5,705,585000,A,east,0
379,28,754000,2,760,1156000,B,south,1
380,41,577000,2,690,1401000,B,east,0
381,35,863000,3,647,1902000,A,east,0
382,43,1074000,7,665,1119000,B,north,0
383,31,872000,2,731,2146000,B,north,0
384,39,765000,3,707,846000,A,north,0
385,33,520000,3,609,601000,B,north,0
386,34,711000,1,672,1082000,A,north,0
387,37,883000,2,818,1782000,A,south,1
388,39,1025000,6,688,1916000,A,south,0
389,27,1110000,1,626,1716000,A,west,0
390,22,896000,0,691,475000,A,west,1
391,44,560000,1,686,948000,B,south,0
392,21,700000,0,763,1535000,B,east,0
393,41,1021000,6,751,929000,A,south,1
394,28,851000,2,637,1720000,B,south,0
395,54,808000,7,629,1634000,A,north,0
396,30,686000,1,679,1301000,B,west,0
397,38,615000,7,755,1287000,A,south,0
398,41,413000,9,601,648000,A,east,0
399,24,1157000,1,749,1162000,A,north,1
400,31,340000,1,671,252000,B,north,0
401,43,745000,7,768,944000,B,west,1
402,28,726000,2,624,1389000,B,north,0
403,37,727000,4,733,1294000,A,west,0
404,51,936000,6,641,2023000,B,north,0
405,21,854000,0,635,955000,B,north,0
406,35,774000,1,759,521000,B,north,1
407,49,1078000,10,620,966000,A,south,0
408,28,1024000,2,792,1763000,A,south,1
409,30,950000,2,726,1247000,A,north,1
410,43,632000,7,623,1185000,B,east,0
411,41,937000,2,643,1979000,A,south,0
412,41,477000,2,790,711000,B,west,0
413,41,621000,4,661,307000,B,east,0
414,58,774000,3,727,833000,A,east,1
415,47,1205000,10,632,1916000,A,south,0
416,50,484000,5,699,519000,B,north,0
417,37,756000,1,770,447000,B,north,1
418,48,998000,6,616,811000,B,west,0
419,33,930000,2,801,2183000,A,south,1
420,29,730000,3,645,384000,B,south,0
421,47,712000,3,644,814000,B,north,0
422,27,966000,1,694,2112000,A,south,0
423,48,633000,2,516,1213000,B,west,0
424,49,860000,5,549,345000,B,south,0
425,21,851000,0,647,947000,B,west,0
426,40,779000,7,667,1802000,A,east,0
427,47,518000,7,572,1015000,B,east,0
428,39,810000,4,734,1594000,A,west,1
429,39,632000,3,626,631000,B,west,0
430,39,248000,2,707,171000,B,north,0
431,46,869000,2,726,543000,B,south,1
432,44,672000,5,820,1530000,B,south,1
433,40,505000,1,657,1026000,A,west,0
434,49,874000,9,720,1095000,A,north,1
435,48,623000,2,641,541000,B,north,0
436,47,584000,6,606,1376000,B,north,0
437,32,1266000,1,789,2354000,A,west,1
438,37,697000,3,675,1213000,A,south,0
439,52,676000,9,672,487000,A,south,0
440,45,958000,4,679,2000000,A,north,0
441,38,393000,7,603,643000,A,east,0
442,40,834000,3,747,589000,A,north,1
443,36,796000,4,737,713000,B,south,1
444,23,540000,0,735,826000,B,west,0
445,48,712000,9,573,1555000,B,east,0
446,40,977000,2,601,1115000,B,south,0
447,29,981000,1,661,1041000,A,north,0
448,45,577000,7,672,1218000,B,west,0
449,51,1005000,8,724,1719000,A,west,1
450,37,803000,4,751,584000,A,east,1
451,30,534000,2,513,1311000,B,north,0
452,37,785000,3,623,1603000,A,north,0
453,39,736000,6,656,651000,A,east,0
454,40,963000,2,767,1047000,A,west,1
455,50,1261000,6,712,2055000,A,south,1
456,52,1012000,10,639,1052000,A,south,0
457,43,709000,2,685,1126000,B,south,0
458,42,952000,5,696,1319000,A,east,1
459,30,589000,1,756,506000,B,north,1
460,30,665000,3,659,1514000,B,west,0
461,36,1079000,2,624,2459000,A,north,0
462,26,736000,1,686,1588000,A,west,0
463,25,497000,0,673,681000,B,north,0
464,36,945000,4,660,2083000,A,east,0
465,40,840000,6,718,771000,A,east,1
466,49,588000,10,722,1443000,A,west,0
467,32,602000,3,642,1147000,B,south,0
468,21,1251000,0,706,1749000,A,south,1
469,38,633000,4,582,573000,B,east,0
470,31,310000,1,649,584000,B,west,0
471,47,712000,9,651,1075000,A,south,0
472,50,1304000,11,743,958000,A,east,1
473,37,914000,3,587,1052000,A,west,0
474,41,461000,3,585,1084000,A,west,0
475,51,847000,11,724,846000,A,north,1
476,39,974000,7,677,1119000,A,south,1
477,25,777000,1,772,898000,B,north,1
478,37,883000,6,642,1029000,A,east,0
479,45,559000,4,640,1194000,B,west,0
480,25,977000,0,607,1560000,B,south,0
481,25,942000,1,663,2209000,B,west,0
482,36,1080000,5,697,2707000,B,east,0
483,43,1169000,3,683,2505000,A,north,0
484,34,622000,1,709,1556000,B,north,0
485,40,891000,8,577,714000,A,east,0
486,32,646000,3,563,1413000,B,south,0
487,39,1226000,2,453,2865000,A,south,0
488,30,584000,2,684,1455000,B,west,0
489,40,749000,6,626,360000,A,north,0
490,27,656000,2,640,861000,B,west,0
491,27,1119000,3,767,1268000,A,north,1
492,34,814000,4,730,1534000,A,north,1
493,53,873000,8,687,2092000,A,east,0
494,33,1036000,2,718,1018000,B,south,1
495,46,911000,2,734,1896000,B,west,0
496,47,913000,7,688,463000,B,west,1
497,27,499000,1,812,472000,A,south,1
498,45,800000,8,690,438000,A,east,1
499,31,1041000,4,743,1514000,A,west,1
500,44,468000,2,694,191000,B,north,0
501,39,659000,7,786,1048000,A,south,1
502,34,613000,6,741,285000,A,north,1
503,42,695000,9,718,1779000,A,east,0
504,28,525000,1,754,1140000,B,west,0
505,21,883000,0,677,2029000,A,west,0
506,21,716000,0,785,639000,A,north,1
507,36,767000,6,697,964000,A,north,0
508,40,789000,4,804,1432000,A,south,1
509,37,841000,2,675,410000,A,east,1
510,37,428000,7,658,266000,A,north,0
511,49,933000,10,752,837000,A,north,1
512,27,697000,1,680,828000,A,north,0
513,38,957000,3,787,1950000,B,west,1
514,21,360000,0,707,214000,B,south,0
515,35,451000,3,755,848000,B,north,0
516,47,928000,4,798,392000,A,east,1
517,32,743000,2,770,676000,B,west,1
518,46,772000,11,722,370000,A,east,1
519,45,583000,7,729,1470000,B,east,0
520,45,589000,3,664,1526000,B,east,0
521,53,1117000,7,664,741000,B,east,1
522,39,693000,4,746,1465000,A,south,0
523,32,640000,3,740,1028000,B,south,0
524,39,1218000,4,556,3108000,A,east,0
525,41,872000,7,600,687000,B,west,0
526,36,1313000,1,729,1105000,A,north,1
527,40,717000,4,718,435000,B,west,1
528,43,585000,4,670,960000,B,south,0
529,53,912000,2,659,1326000,A,north,0
530,43,282000,5,666,542000,B,south,0
531,56,581000,7,652,537000,B,west,0
532,42,618000,5,774,1476000,A,east,0
533,49,735000,3,713,1533000,B,north,0
534,45,836000,2,615,959000,B,east,0
535,21,1034000,0,727,1853000,A,east,1
536,34,958000,1,660,1867000,A,north,0
537,39,1365000,6,663,2885000,A,north,1
538,34,806000,1,729,1579000,A,south,0
539,35,914000,1,643,729000,A,west,0
540,33,828000,4,582,454000,A,east,0
541,43,600000,3,594,1085000,B,east,0
542,33,576000,1,650,990000,B,west,0
543,38,959000,3,685,721000,A,north,1
544,22,790000,0,715,1711000,A,east,0
545,29,224000,1,676,268000,B,east,0
546,38,995000,2,739,461000,A,east,1
547,46,968000,2,713,2010000,B,east,0
548,46,630000,5,644,1458000,B,east,0
549,42,1057000,6,561,1816000,B,west,0
550,46,1091000,2,707,1463000,B,north,1
551,53,556000,8,743,1003000,B,south,0
552,46,411000,3,675,856000,B,north,0
553,41,1082000,8,737,1396000,A,east,1
554,53,557000,10,652,734000,A,west,0
555,52,1309000,11,797,1349000,A,west,1
556,30,877000,4,627,472000,A,north,0
557,33,797000,2,750,1310000,A,north,1
558,41,884000,4,715,957000,B,south,1
559,55,1084000,7,637,874000,B,north,0
560,21,1316000,0,767,2545000,A,west,1
561,56,803000,13,697,756000,A,north,1
562,33,637000,3,599,733000,A,west,0
563,25,790000,1,610,2034000,B,south,0
564,31,883000,3,632,821000,A,west,0
565,33,738000,1,565,1459000,B,east,0
566,63,301000,7,740,397000,A,north,0
567,45,747000,7,684,641000,B,north,0
568,32,679000,1,645,1390000,A,east,0
569,31,479000,1,693,1133000,B,south,0
570,34,745000,4,608,1449000,A,north,0
571,47,455000,2,771,469000,B,north,0
572,50,514000,12,773,427000,A,east,1
573,43,644000,1,746,1241000,B,south,0
574,36,776000,1,725,1368000,A,west,0
575,29,789000,2,675,966000,B,north,0
576,43,574000,7,765,252000,B,east,1
577,55,913000,9,868,1717000,A,north,1
578,26,891000,2,631,2206000,B,east,0
579,30,826000,3,742,1299000,A,east,1
580,54,746000,9,656,1386000,A,east,0
581,22,764000,0,743,586000,A,west,1
582,50,1195000,13,718,1578000,A,west,1
583,41,854000,2,759,559000,B,west,1
584,53,593000,11,643,1154000,B,north,0
585,48,413000,2,614,873000,B,south,0
586,35,1081000,2,583,2168000,A,west,0
587,36,749000,4,714,1073000,B,east,0
588,37,927000,4,697,983000,A,north,1
589,38,1065000,2,606,1071000,A,west,0
590,28,773000,1,630,1005000,A,south,0
591,42,1110000,8,705,535000,A,south,1
592,39,847000,7,684,1907000,A,east,0
593,34,855000,4,615,821000,A,south,0
594,40,793000,6,768,383000,A,east,1
595,39,1106000,7,657,813000,A,east,1
596,35,677000,4,737,662000,B,west,1
597,30,1036000,3,759,2414000,A,east,1
598,22,662000,0,749,1307000,B,west,0
599,48,638000,10,789,1423000,A,east,1
600,43,776000,2,603,1100000,A,west,0
601,43,704000,8,697,1185000,A,south,0
602,43,1232000,4,772,1309000,A,south,1
603,35,734000,2,622,486000,B,east,0
604,21,1044000,0,612,1672000,A,south,0
605,39,632000,3,624,953000,B,east,0
606,34,619000,1,675,588000,B,east,0
607,38,792000,4,669,1968000,B,north,0
608,39,1240000,3,790,545000,A,west,1
609,35,731000,2,619,1782000,B,south,0
610,35,735000,1,716,1486000,A,east,0
611,39,652000,4,744,1227000,A,north,0
612,36,418000,1,608,627000,B,north,0
613,29,1053000,2,658,2266000,A,east,0
614,41,737000,5,728,1216000,A,east,0
615,28,959000,1,637,1724000,A,north,0
616,47,986000,7,700,1026000,B,east,1
617,28,1013000,3,684,1067000,A,west,1
618,34,636000,2,735,475000,B,west,0
619,45,1245000,11,577,3004000,A,west,0
620,45,1072000,4,818,1926000,A,north,1
621,37,1036000,7,603,1747000,A,north,0
622,43,830000,9,608,891000,A,south,0
623,32,893000,4,632,690000,A,west,0
624,33,831000,2,738,1614000,A,north,1
625,32,837000,3,629,1017000,A,east,0
626,27,612000,1,698,458000,A,east,0
627,31,1104000,4,701,814000,A,east,1
628,33,1072000,2,618,2079000,A,east,0
629,32,340000,2,600,524000,B,south,0
630,51,1083000,13,583,2415000,A,south,0
631,42,449000,9,664,1028000,A,west,0
632,37,552000,1,675,1299000,B,west,0
633,48,734000,5,722,1868000,A,east,0
634,39,1034000,4,578,563000,B,west,0
635,21,570000,0,783,375000,A,south,1
636,39,1031000,5,727,583000,A,north,1
637,43,1294000,2,542,3295000,A,west,0
638,32,471000,1,614,1097000,B,north,0
639,36,814000,1,779,1963000,A,north,1
640,22,406000,0,758,195000,A,south,1
641,40,931000,6,745,1298000,B,west,1
642,25,902000,1,744,1024000,A,south,1
643,35,1407000,3,740,751000,A,east,1
644,45,685000,8,628,630000,A,north,0
645,52,966000,6,690,1564000,A,west,1
646,43,589000,4,759,788000,B,west,0
647,55,959000,12,694,2212000,A,north,0
648,39,990000,1,696,2009000,A,west,0
649,21,508000,0,654,1188000,B,west,0
650,30,568000,2,712,1109000,B,north,0
651,70,744000,2,599,399000,B,east,0
652,40,855000,4,663,824000,A,south,0
653,40,853000,8,693,2091000,A,north,0
654,44,830000,4,708,1245000,A,east,0
655,41,1145000,1,584,803000,B,north,0
656,38,905000,6,794,2241000,B,west,1
657,45,910000,9,723,1912000,A,east,1
658,49,882000,5,623,725000,A,south,0
659,37,832000,3,762,1179000,A,north,1
660,31,769000,3,748,416000,A,east,1
661,32,686000,2,609,333000,B,south,0
662,35,1024000,1,678,1833000,B,south,0
663,42,815000,5,610,777000,A,south,0
664,41,466000,6,670,1096000,A,east,0
665,44,1064000,10,685,2363000,A,south,0
666,30,895000,1,727,1211000,A,north,1
667,33,784000,1,717,440000,B,west,1
668,40,811000,2,515,575000,B,north,0
669,29,740000,3,679,1542000,A,north,0
